,0
PREV_NAME_TYPE_SUITE_Spouse__partner_MEAN,0.0
PREV_NAME_CLIENT_TYPE_New_MEAN,0.0
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,0.0
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,0.0
PREV_NAME_CLIENT_TYPE_XNA_MEAN,0.0
PREV_NAME_CLIENT_TYPE_nan_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Audio_Video_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Auto_Accessories_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Clothing_and_Accessories_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Construction_Materials_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Direct_Sales_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Education_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Fitness_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Gardening_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Homewares_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Insurance_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Jewelry_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Medical_Supplies_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Medicine_MEAN,0.0
