feature,importance
CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN,0.0
CC_AMT_DRAWINGS_OTHER_CURRENT_MAX,0.0
NAME_INCOME_TYPE_Businessman,0.0
CC_AMT_DRAWINGS_CURRENT_VAR,0.0
CC_AMT_DRAWINGS_CURRENT_MEAN,0.0
CC_CNT_DRAWINGS_CURRENT_MIN,0.0
NAME_INCOME_TYPE_Student,0.0
CC_AMT_DRAWINGS_ATM_CURRENT_VAR,0.0
CC_AMT_DRAWINGS_ATM_CURRENT_SUM,0.0
CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,0.0
CC_AMT_DRAWINGS_ATM_CURRENT_MAX,0.0
CC_AMT_CREDIT_LIMIT_ACTUAL_VAR,0.0
CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,0.0
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,0.0
PREV_PRODUCT_COMBINATION_POS_industry_without_interest_MEAN,0.0
NAME_EDUCATION_TYPE_Academic_degree,0.0
CC_AMT_BALANCE_VAR,0.0
OCCUPATION_TYPE_HR_staff,0.0
FLAG_DOCUMENT_21,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_17,0.0
CC_AMT_INST_MIN_REGULARITY_VAR,0.0
CC_CNT_DRAWINGS_ATM_CURRENT_VAR,0.0
CC_CNT_DRAWINGS_ATM_CURRENT_SUM,0.0
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,0.0
CC_CNT_DRAWINGS_ATM_CURRENT_MAX,0.0
FLAG_DOCUMENT_2,0.0
CC_AMT_TOTAL_RECEIVABLE_VAR,0.0
CC_AMT_TOTAL_RECEIVABLE_SUM,0.0
CC_AMT_TOTAL_RECEIVABLE_MEAN,0.0
CC_AMT_TOTAL_RECEIVABLE_MAX,0.0
